景点编号,分钟t,估计实际人数N,估计进入人数Î,估计离开人数Ô
1,1,14.118069765655322,12.422588208457995,0.0
1,2,16.941683718786386,6.3465221979941475,0.217940583733483
1,3,25.412525578179583,7.20637419885737,1.7217179187914768
1,4,22.588911625048517,4.3575715389223655,5.326599113742189
1,5,19.765297671917452,5.372924879853807,7.624463363211113
1,6,22.588911625048517,7.89284356915975,7.045271541085021
1,7,22.588911625048517,6.119787447802015,5.950523282819074
1,8,19.765297671917452,5.272844159658767,5.615730736348901
1,9,25.412525578179583,9.277465335649115,6.257458175220489
1,10,25.412525578179583,7.615788963511288,6.563399395729963
1,11,28.236139531310645,8.295132715231953,6.472148750665606
1,12,28.236139531310645,9.353573321001203,7.196561455498627
1,13,33.88336743757277,12.14334102793235,7.990118700836508
1,14,33.88336743757277,9.131742757284863,8.33288108434404
1,15,36.70698139070384,7.280287490501173,9.108130039717686
1,16,19.765297671917452,1.5059620297306942,10.103669681209542
1,17,28.236139531310645,14.323465140466324,9.831927452965271
1,18,39.530595343834904,17.01958759104122,7.975399934153441
1,19,42.354209296965976,10.694359884576235,6.656584762495252
1,20,39.530595343834904,7.953215565268982,9.086595481208843
1,21,36.70698139070384,10.416752896862024,12.901607171565775
1,22,39.530595343834904,13.07850972098516,12.869265700807572
1,23,39.530595343834904,10.318513944036338,10.609825183976
1,24,33.88336743757277,8.819763076909645,10.047078957430234
1,25,42.354209296965976,16.321253730638603,11.005291307189163
1,26,48.00143720322809,15.83974903032743,11.173775323107222
1,27,48.00143720322809,11.53642693951028,11.022851931329175
1,28,42.354209296965976,10.292504015970081,12.691192318274744
1,29,48.00143720322809,16.72592162441881,14.344865712949693
1,30,50.0,14.92714516040826,13.554186673221611
1,31,45.177823250097035,10.938872902959679,12.46971435889856
1,32,50.0,14.752367547391065,13.435459678476425
1,33,45.177823250097035,12.849047388204893,14.381449524680784
1,34,50.0,15.940399092460002,13.6115724758533
1,35,50.0,13.776996412667065,13.236017544139903
1,36,48.00143720322809,12.469408901796385,13.728939089851737
1,37,48.00143720322809,13.802688035177031,14.267103763426196
1,38,48.00143720322809,14.516678894125755,14.26463615517688
1,39,50.0,14.990582415646978,13.597512711382747
1,40,50.0,13.975266123670664,13.47962153895505
1,41,50.0,14.027467001200556,14.039865371432537
1,42,50.0,14.365473545671644,14.475807734334795
1,43,50.0,14.38582014553731,14.412493211727176
1,44,50.0,14.241227370081612,14.192388977451364
1,45,50.0,14.222404523852916,14.207331336749338
1,46,50.0,14.28337983041048,14.3039128052907
1,47,50.0,14.294931024365118,14.302614097605769
1,48,50.0,14.27010234608096,14.261733882561682
1,49,50.0,14.263865660346788,14.25955838635996
1,50,50.0,14.273212321229646,14.276833542249356
1,51,50.0,14.275700482346434,14.278958544014897
1,52,50.0,14.27373946905136,14.27181546622585
1,53,50.0,14.274627268056285,14.270236497851505
1,54,50.0,14.271445834994273,14.272935193109312
1,55,50.0,14.265404504040328,14.274260938112539
1,56,50.0,14.27511469994582,14.273845033277949
1,57,50.0,14.292377226335471,14.272221510188658
1,58,50.0,14.271178464964073,14.270616224952343
1,59,50.0,14.225808852311333,14.273376419721815
1,60,50.0,14.271797241246063,14.278498788060912
1,61,50.0,14.381607484993445,14.273187174702915
1,62,50.0,14.282937056385737,14.260020828588267
1,63,50.0,14.091167278435416,14.270306001956408
1,64,50.0,13.920270767970676,14.302812716837357
1,65,48.00143720322809,13.566779175599267,14.284027705265395
1,66,50.0,15.256974688166496,14.168329249044152
1,67,50.0,13.41380803764434,14.01353694280055
1,68,45.177823250097035,10.532878289907714,13.989028247711117
1,69,45.177823250097035,12.181509155090067,14.14497379670489
1,70,39.530595343834904,11.771321022706395,13.697539008937257
1,71,48.00143720322809,17.03118916007787,12.452140000407441
1,72,48.00143720322809,12.934315346006084,11.847415252129451
1,73,45.177823250097035,10.271735092786281,12.489463626957164
1,74,42.354209296965976,11.252687733794142,13.782176545825305
1,75,42.354209296965976,13.186616366750325,13.837246431520624
1,76,42.354209296965976,12.457461226155273,12.292501288746084
1,77,42.354209296965976,10.722528979675037,11.498697538200261
